ID_compte;ID_visiteur;ID_produit;quantite
9422;;9922;321
8245;;9754;181
;8747;8258;351
2017;;1774;335
;1553;315;478
;6188;1776;243
;2598;8837;139
;5713;9865;65
;7457;2976;21
;4170;6941;0
;482;7761;98
;3144;9681;255
999;;7829;96
8656;;5589;25
5977;;7785;6
;6259;3077;466
3091;;6857;73
7156;;5182;149
;6742;3296;26
;6934;9352;141
90;;5797;233
8124;;980;42
2259;;5180;51
;9389;3639;187
2889;;547;157
921;;8787;164
9301;;2490;139
2646;;2912;96
;1609;431;69
;5123;2838;8
4627;;6921;215
;345;2274;234
;8322;4323;90
;2537;219;134
;3792;3775;132
9669;;6282;7
;4119;7523;30
;755;9836;88
;7635;7029;180
660;;8482;57
;6826;4437;91
;1774;40;3
8138;;3887;197
9717;;8238;129
;7370;2468;6
;961;2171;164
;376;3240;141
3429;;7767;34
;7501;830;150
1494;;1566;177
;5565;3756;3
;7851;3312;38
7867;;147;16
;8780;6918;20
;8592;4439;71
5429;;1149;4
;1173;770;365
;4257;9807;13
;5162;5482;134
6220;;1726;87
1823;;6565;139
3378;;6937;165
3416;;8448;156
117;;1910;18
;1983;431;140
;7238;6937;149
;240;9357;1
;9220;518;174
1535;;5061;0
;4340;6196;153
7491;;8597;370
;9043;7048;109
;8098;6213;240
2632;;7535;487
;1044;5834;162
;524;627;144
;2353;7389;21
6082;;6372;4
6983;;2559;26
7579;;2581;23
;8777;4197;98
9258;;7545;15
;9103;2143;369
4941;;7232;15
;6864;9084;34
;7031;5755;115
;2942;4818;2
7235;;7634;157
9813;;9748;134
4119;;5853;0
;3645;7113;65
;5379;4479;357
601;;8342;22
4183;;5177;84
;6930;4059;40
4999;;3615;110
;4336;5020;285
;6420;6624;392
5715;;3178;25
1063;;5564;312
7847;;2012;382
5831;;6093;115
;819;5259;0
5290;;4401;24
;2322;8946;311
;8826;1292;219
4886;;6893;151
7697;;4029;8
3204;;5063;56
;913;6731;147
;5060;661;42
;543;6043;49
3566;;9952;14
;6839;4316;41
;7109;492;262
;9908;9261;339
;2164;5205;198
4145;;6681;15
;6802;9152;123
1597;;6390;210
;5422;4261;411
3707;;8261;0
;4795;3215;185
8471;;7441;28
;3659;8363;51
7182;;9257;231
2170;;7848;118
;2225;1786;429
;8422;3738;161
;1917;860;35
;1610;4953;121
8557;;1586;130
3457;;1735;15
3248;;1060;21
3687;;9505;177
;3006;3138;0
9533;;2509;57
2745;;2613;28
2032;;3994;75
;9768;5626;74
;401;6856;49
3027;;7604;46
;25;9194;4
2240;;9164;358
;3559;801;36
1649;;1915;118
;9087;586;160
1714;;9359;96
;4053;1661;209
4706;;9996;11
;1003;6113;0
;4872;5165;321
;4953;2130;30
;8950;9556;14
4257;;587;182
;534;3737;292
2964;;9481;17
;431;4914;27
;1121;8887;52
;8637;5716;118
;548;2821;373
;3148;4570;356
8402;;3134;61
;4156;2538;48
8632;;9234;19
;485;178;75
6156;;4392;284
;7942;8557;368
;2932;1724;44
8237;;7660;24
;5297;2466;21
4595;;2127;137
839;;1492;213
;2008;3513;31
9431;;3786;80
775;;1312;303
;3467;47;300
8132;;476;104
;8458;1538;45
;9104;2223;42
;1720;3027;207
2162;;4644;249
;1865;2192;5
;2337;5041;117
3712;;4869;91
;2661;5306;77
;8553;8823;117
;7562;7547;92
;6885;7939;8
9846;;5089;37
;3247;154;308
;1226;8025;19
9054;;6150;15
2327;;3048;116
2857;;1310;72
6351;;1517;180
3500;;1078;26
7133;;8359;69
5685;;4833;326
;9814;9912;11
;607;5928;31
;1673;5106;54
;7208;9474;188
;9975;6724;83
4250;;9810;92
8258;;4738;67
3405;;5635;40
;3377;1232;143
7078;;1224;15
1906;;3558;8
3306;;6037;170
;1507;4299;152
4728;;6350;156
;1888;8818;70
;8584;7564;137
3754;;3819;130
;8121;9246;48
;7647;2809;0
;4816;9029;14
;178;8903;343
;6225;767;61
2288;;7685;30
587;;7182;5
;2097;8586;61
;280;6283;24
6830;;8309;44
2745;;8897;0
;4242;7592;21
729;;671;71
;6266;5309;75
9671;;9876;206
9027;;8874;335
;9109;8750;74
5410;;4069;8
3250;;145;20
9694;;8835;352
;719;6305;234
;4971;2744;120
;5021;7188;148
;9893;7991;62
2029;;9378;96
;6739;1721;28
;2759;3159;5
;7040;836;26
;7708;7209;38
2868;;5483;50
;5198;6143;22
1043;;3626;61
2724;;896;9
6433;;660;3
6762;;5023;31
;1950;798;92
;9693;9737;51
;6647;6074;143
9399;;9428;6
6467;;4562;95
;6211;8580;316
4054;;8157;22
3323;;7233;78
3855;;2073;46
5391;;8802;267
7273;;3609;126
8358;;8050;35
;5585;6436;213
2716;;8380;88
111;;3393;49
;8103;9993;58
4941;;584;330
;2905;7846;91
9199;;2143;19
;7886;8767;86
3534;;6687;10
;6673;6533;19
8466;;4806;204
6943;;8151;132
;2881;5266;249
;3109;9454;449
;4670;3305;255
7076;;761;8
4119;;666;76
248;;9321;12
6192;;825;49
;1101;2404;81
;1883;6705;51
;1432;8250;6
7066;;443;83
9874;;455;135
7194;;4156;27
5457;;2094;192
1482;;8595;156
;9928;4268;236
;1524;7325;89
;8550;323;10
;943;2397;344
;859;8354;2
;1632;7911;14
;9617;3543;192
;8471;5925;150
;3880;6283;264
;5925;5809;218
;5472;6486;398
;1688;6563;101
;8964;5290;66
;7997;4798;0
5154;;9053;32
2544;;2751;226
6010;;1051;16
4029;;3775;195
;1413;1528;17
6858;;2118;10
;9528;9147;21
;4200;4322;14
;203;3557;42
;3559;6853;5
;5872;1535;433
;3096;618;1
;1617;1988;4
;1972;8365;281
;9455;7993;11
6848;;7270;163
;1292;9498;30
;6227;8550;15
7823;;3601;119
;8894;6422;181
;4188;1071;59
5158;;8805;84
6893;;3613;117
8031;;7141;84
;3247;990;238
938;;5203;143
;9389;8304;52
;4696;6512;184
;1722;9768;129
;6685;1748;394
;7585;5308;52
6299;;7783;117
3655;;3948;82
9643;;9681;223
;7796;7050;183
;3944;8441;51
;6755;644;19
5156;;9263;85
7048;;4932;9
5977;;3941;423
;7923;8593;71
;7187;5238;60
786;;7380;7
2649;;7636;248
;7075;2570;16
6433;;8239;127
;8612;1212;145
8558;;3563;111
;9157;575;60
;8020;6033;75
1229;;5668;15
5584;;738;192
;8532;4907;98
593;;123;220
;997;3483;170
9882;;2215;184
828;;3856;404
1276;;3121;26
;429;9618;89
2562;;2901;47
;3429;3810;21
2024;;7483;217
;8295;6286;60
2631;;5822;176
;6078;2189;288
;1971;2694;49
;4592;134;7
2352;;3200;325
;3077;2211;79
;1615;3316;13
3126;;6145;62
1456;;7051;0
2604;;8038;27
;6001;9766;166
;9537;2351;231
;6811;7671;276
3717;;424;106
228;;4717;70
5795;;7386;55
;7547;506;51
7334;;4637;243
;3277;6398;284
4382;;1857;117
;9846;9142;106
;8257;4966;51
;3698;2710;2
;949;7306;32
;7415;6549;25
;6616;6684;125
8503;;5064;47
;232;7996;34
8059;;3219;68
7623;;1504;50
;7558;4780;13
;7194;1882;144
3093;;4480;42
;39;6695;123
;7902;7933;6
;9393;8447;27
;7993;2599;11
;7987;4118;262
1684;;4946;92
;766;8764;8
;7160;4068;23
1736;;5931;286
;4094;873;21
5801;;3124;58
;2764;9761;95
4234;;3138;0
;2270;3755;246
9493;;5532;268
;5075;1334;288
;2674;2283;71
3976;;148;99
;6370;9874;312
6407;;134;130
6993;;7772;101
3936;;8534;62
;4040;3653;5
;8862;2654;59
2764;;2864;430
3961;;3986;100
5232;;156;20
;1544;560;419
;1904;8103;136
5027;;2150;18
7180;;7378;56
830;;6755;48
5578;;5140;161
;3121;9512;199
;1128;463;235
3555;;966;373
5010;;3114;347
;2704;4654;189
3030;;8287;142
;6266;2029;50
5119;;6905;117
;4458;6731;239
8781;;5188;62
889;;9217;447
;7408;7437;6
;3237;8914;92
1542;;5628;4
;1604;4199;93
;1203;1813;41
2059;;4402;155
7557;;8635;71
5235;;6859;52
7545;;9711;82
7222;;6754;34
4508;;6276;5
5945;;3730;0
;4790;4383;187
;9728;2929;18
;5183;5921;221
;7728;4706;36
;9948;4761;65
5507;;1306;30
;8704;2618;2
;8383;9272;4
7893;;2002;41
;9940;3317;216
303;;662;20
;9441;6158;392
8946;;9805;52
4346;;1084;29
;8140;4921;69
1280;;5162;143
7675;;5594;25
6309;;2210;42
1405;;9989;91
665;;6523;117
4912;;9606;0
;8237;6812;150
7873;;7600;248
7250;;2288;44
;6390;6657;27
8174;;6839;77
2647;;1858;4
;8791;326;10
;6519;9994;71
;2038;8612;61
3004;;7254;59
9346;;9928;138
6994;;5129;57
;9251;2537;65
9525;;7133;12
1677;;9782;103
;8981;9894;295
3808;;852;41
3870;;5630;0
;7144;3098;105
2655;;5279;189
;3695;4812;155
3968;;6555;66
;1331;256;58
;4452;6466;148
6130;;3671;362
;8871;6685;36
;5780;1070;202
;8748;3166;262
5348;;275;0
3230;;6959;9
258;;7838;58
;1451;2838;37
;2173;9436;0
;9059;524;8
4150;;5010;272
;4436;3755;49
6132;;4382;279
8168;;6082;221
;1864;5850;162
6336;;4874;159
4192;;1516;18
;6084;641;81
4941;;2941;38
;7399;6431;17
;5523;4460;25
;3316;2425;10
;7513;6622;80
3387;;3757;46
;3882;3407;237
5783;;8012;383
8256;;5422;152
;7675;8040;373
5660;;8124;79
;1304;1041;32
8399;;5444;91
;5814;170;245
;959;5568;55
;536;5496;337
2159;;2404;38
1556;;356;82
3476;;7649;208
;5812;4404;131
;9315;4376;195
;5294;1517;177
;6799;7009;40
;2818;5365;117
4096;;1361;25
;2549;3122;371
;2332;7568;18
;5147;8328;196
;2203;983;168
;1522;1710;158
5266;;7515;12
5038;;1653;125
;8997;675;21
6857;;810;207
;4976;320;258
738;;5975;342
;1838;7515;3
;2136;1614;146
8256;;1459;57
7453;;1730;163
5531;;499;98
;288;1767;306
9187;;3593;407
8131;;436;43
507;;3941;395
;4252;3569;0
;1932;2691;230
5107;;6414;16
938;;2261;97
;8837;3765;111
;4956;9739;10
3895;;9952;0
9244;;7414;170
5019;;9644;285
3392;;5081;375
9722;;7458;53
979;;4439;268
2904;;3086;234
8092;;3437;63
2498;;1800;12
;5870;3556;42
;6461;6759;54
;9852;1270;3
;100;4799;134
4068;;4694;166
;1547;8056;199
;9804;1511;71
;3327;8205;81
;2935;7277;271
;5286;2866;62
;2397;2028;35
;3913;6356;296
;6237;877;14
5419;;3759;68
;8354;9120;110
;22;24;121
;5859;396;168
8370;;8455;25
;3655;5467;4
;4312;8614;36
8382;;4360;9
;518;6032;35
5415;;623;16
3496;;8629;337
;1666;280;24
;5630;3674;230
;5186;9804;88
2706;;2989;191
;2532;7672;24
5203;;2798;149
;4564;1963;336
;2498;574;84
2262;;2703;93
3629;;4621;12
7780;;631;411
;6769;8986;46
;8667;6618;58
;4817;2403;81
282;;7407;197
;3941;315;384
5632;;5614;107
;2612;7265;81
3047;;559;390
5660;;2352;19
963;;6674;227
;7649;5711;36
;623;4167;35
1196;;3198;1
1332;;3287;288
;3182;5043;122
1414;;9956;19
;673;8581;1
;9402;936;113
;159;513;190
;8852;2087;219
;7370;8966;1
3394;;5933;6
;7697;1877;53
;1740;9048;204
;2123;5308;139
;8173;7572;37
;2766;8467;43
1860;;3078;0
;1478;9876;126
;1644;5120;148
;4117;1583;277
854;;5888;286
;2188;4665;249
1983;;5523;158
;1752;9270;0
9056;;2192;68
;9770;3677;25
;5163;6576;0
3705;;3959;16
8427;;8010;29
;5876;2847;97
9641;;6210;199
;9309;4639;48
5733;;3097;234
4593;;7749;82
6574;;5294;186
5102;;6252;15
;3898;3050;4
;9485;1279;42
1475;;9214;91
6929;;6461;32
;3;2761;359
3934;;164;427
;494;9240;254
;8612;3708;57
1589;;9924;254
;3550;5414;140
;9050;9653;140
6602;;5696;106
6462;;2280;294
;3160;8009;167
1875;;7216;63
53;;3343;101
5235;;4940;73
;4386;4699;175
9157;;1402;28
2282;;922;5
4772;;759;275
1134;;305;100
5559;;9531;50
;3763;4613;214
;9860;3841;14
;8770;7188;8
1023;;1988;4
;2793;8539;2
;1924;549;167
3425;;4450;55
;7924;5233;80
1777;;4980;29
;5400;970;30
5855;;8642;100
858;;4801;310
706;;6670;37
1822;;7925;143
;9586;6739;89
;3766;3344;197
5372;;6225;91
;5871;3538;77
;7054;5698;144
;61;8671;6
;6795;662;170
5871;;7204;1
;7173;3292;94
7217;;4995;127
;4338;4820;6
6023;;6849;346
5652;;8327;253
;8224;7260;0
4504;;3524;80
6312;;8890;0
3462;;8479;19
;8450;3159;12
4233;;9251;86
;6959;9859;6
;3470;8662;97
;4920;1331;187
;4885;1240;104
9843;;8786;12
;9775;838;184
;5835;3575;156
4680;;5294;21
;3013;8651;37
;5031;2197;407
;1162;8834;194
;9607;6707;110
6732;;5032;6
9768;;6974;18
923;;2393;82
;7005;3117;49
8139;;9528;15
;9212;8112;223
;9147;5586;22
;5081;3814;57
6708;;1385;253
6636;;5990;141
;7121;7698;293
1114;;2190;197
147;;163;153
6948;;9031;23
7762;;2457;328
;4117;4269;132
;1441;8379;65
;2533;7182;68
;1190;4386;42
;7112;4758;108
3139;;8011;130
;369;5675;147
;6631;1231;34
;2193;774;0
7838;;1291;312
7496;;7611;145
9963;;5234;294
;1812;3810;36
;6980;9607;403
4172;;9269;382
;4927;2234;37
4609;;4959;59
1182;;9782;82
3162;;3448;53
8129;;4146;25
3539;;8709;125
3910;;4244;4
;4764;2779;26
3052;;9820;33
1297;;9702;78
;4092;4729;307
;4489;9905;104
6868;;8893;214
;3293;3163;365
7771;;4295;17
1767;;413;286
;9029;6051;20
7938;;7408;46
;9;1811;74
7396;;5336;148
;8208;8489;394
;3218;7001;133
5340;;1866;435
;3665;7480;5
7997;;660;78
6345;;4009;141
;3739;9655;122
;3429;1282;155
1470;;5218;44
3766;;7906;435
7563;;738;8
;1485;618;153
;801;6106;8
;8506;20;4
7265;;6032;167
;1905;5256;8
1820;;2484;267
2544;;4325;22
;4753;4237;112
2374;;2598;63
6924;;3955;12
3259;;3834;83
;9504;3159;3
6543;;721;67
;8712;5147;54
;9993;6830;400
5276;;9086;12
;5229;6122;69
;6324;2722;420
5348;;1707;11
1702;;3572;1
3759;;4852;43
;7680;5448;26
;935;257;195
7073;;7398;19
8046;;2458;105
;3555;2101;78
5134;;5992;89
;6848;2026;29
5949;;3596;421
;8934;1263;259
7416;;8349;216
;54;2236;374
;4180;8827;17
;4615;5906;113
2325;;4877;14
;9536;924;27
5707;;6460;32
;2199;6953;42
2766;;2769;285
108;;7485;154
8630;;8906;287
;4378;108;170
;8130;9528;41
;507;9525;137
;4968;6416;0
4252;;5752;51
1605;;7784;16
1737;;96;91
;3335;1035;156
;2318;5102;8
2034;;9878;17
;9363;5613;3
2871;;2821;369
;2447;1688;104
;7963;1742;83
8584;;7346;1
4464;;1829;9
1733;;8296;225
;896;373;103
;946;1629;214
;6851;1086;180
;4703;9954;9
7594;;9638;39
;2162;177;421
3796;;5747;206
;1621;3031;252
4728;;5180;50
;3963;7707;7
;3202;8772;177
;4863;1344;3
;1209;4776;191
;7880;9799;0
4843;;5807;404
1220;;7744;148
7824;;2956;105
5239;;3259;4
;6324;9969;63
8698;;7444;364
2828;;8001;31
6387;;35;45
;7896;9176;267
1275;;8340;122
;424;6718;91
;649;6406;221
;9109;7681;80
483;;4847;4
9619;;6327;13
;4309;9713;162
;9480;5931;170
8890;;3216;246
2370;;4117;76
4889;;5949;133
;9358;7690;3
3569;;7254;39
3220;;2383;31
;7207;7006;141
2354;;4825;146
2001;;235;25
;5182;6940;197
9126;;3632;67
;8912;1432;31
;4590;3969;31
4626;;8355;192
;411;1997;37
9212;;5966;331
;5822;7677;31
;155;4038;490
6841;;3998;1
;2375;3258;28
4513;;7655;38
8765;;2920;121
9441;;6313;111
;7113;3285;404
;22;9320;25
;5253;2196;13
9189;;8727;110
1218;;6782;139
4976;;7445;52
;694;3879;2
;659;5987;213
;1309;8537;108
2331;;5788;64
2190;;8078;1
;187;6730;134
1347;;5595;74
;9003;9248;14
;5153;5275;227
330;;6736;74
;3649;951;27
;4447;9266;1
3347;;3253;267
;6692;153;116
;4549;7321;113
;8494;5469;59
125;;7039;36
;512;4070;55
2945;;2282;142
5511;;3724;125
8942;;6214;189
;1666;8615;137
2464;;7950;101
2989;;229;106
;8335;2480;17
;5877;4333;9
4496;;9709;163
7593;;7081;35
9859;;5890;0
;3820;6484;62
;3220;8924;239
9319;;4468;428
;9072;4849;121
;6269;5520;55
5036;;6620;34
9001;;7835;92
;2798;5559;299
;4324;2080;18
;1931;4777;116
;6347;5391;78
893;;8340;132
8686;;8178;56
;8980;324;0
;4062;2595;24
;5706;3368;142
;6961;7759;206
435;;9003;205
;4181;3152;207
6671;;2806;33
;3468;7713;172
2001;;7039;142
;6289;334;27
;580;8746;4
9859;;5681;236
166;;2086;165
;8926;5893;179
4685;;1081;7
3176;;1174;205
;2217;3980;146
4929;;9704;327
;4983;554;124
2;;1206;185
8367;;5379;171
7339;;7630;41
8950;;2377;189
6781;;497;161
;169;1085;24
;8629;7431;57
7978;;1325;3
9012;;7755;33
1525;;5548;33
;213;9907;18
9469;;3198;10
8232;;1081;5
;4078;4447;39
;5430;7154;21
;660;5125;67
;3536;8830;76
2081;;5841;199
;5967;6543;20
9386;;2866;43
4199;;7016;60
;8381;9056;254
7397;;1689;44
;1873;7411;36
8831;;5389;198
;4178;3623;320
2913;;4475;18
;8496;6601;66
;3353;6716;91
5521;;3876;57
;7945;3553;75
;3264;6155;52
;2636;2981;55
;8541;3096;64
;326;5868;211
;5470;2841;403
5724;;1809;460
9392;;7745;62
;10000;6820;269
3210;;3899;5
;4479;4579;45
;5658;6490;301
3938;;3355;0
9731;;8204;233
2141;;4064;224
;6747;2111;62
;7445;4189;27
;9391;1555;58
7175;;8465;57
;2815;7049;4
;1456;9191;120
2037;;3049;78
;1192;1047;67
2219;;9649;51
5875;;2007;271
2761;;2397;68
9862;;5316;43
3556;;9119;330
;6601;3181;56
8669;;8802;367
;6696;3466;116
4205;;6145;29
;5890;7281;237
9069;;2638;87
1803;;6323;23
3634;;3537;270
;4955;3300;0
4199;;8995;72
;4246;6518;86
;6118;7101;186
;2020;1942;93
4999;;5852;49
1870;;2255;326
;5286;9836;125
;2507;2558;72
;8889;3613;447
;4048;6780;12
4490;;3059;22
;3138;2371;394
;5471;4834;73
;1602;3383;76
8801;;1356;133
7920;;4400;182
;2430;4207;210
9918;;2279;359
;9962;8571;20
;9482;5798;121
;7862;6178;14
;1572;322;83
;9717;9311;1
306;;330;95
4376;;9417;142
;162;1710;117
125;;1737;103
5950;;9902;236
;9085;5414;75
;4014;1138;3
2453;;3413;150
;9852;4537;67
452;;7285;320
5992;;2846;21
;8613;6314;83
;8236;4143;232
;6022;4236;21
;1304;4628;182
3118;;1498;73
9201;;8699;1
6464;;8230;327
;120;3261;79
4732;;7608;175
5239;;6553;333
;5615;9139;13
1568;;4890;30
2639;;7553;86
;7876;9509;295
4223;;926;9
;9620;7877;34
6613;;1981;201
;2553;298;133
;4904;3093;122
6692;;7377;126
4040;;3739;5
3134;;3730;0
;5751;4680;281
9932;;5419;232
9441;;682;131
;702;9709;54
2817;;7880;22
;2160;5877;91
;3602;7546;46
2877;;5354;45
8584;;5306;98
;2790;8868;62
;9620;4764;44
4173;;8468;250
;2186;954;77
;8741;8876;189
950;;452;89
;9811;9441;2
;861;3947;33
;7372;3906;73
;5831;2755;81
6225;;4712;362
781;;1044;78
7808;;9427;221
3143;;3397;380
;9728;1184;395
9629;;1045;51
9609;;4955;151
4916;;3267;139
3891;;1987;62
;4635;3716;5
;8466;2084;0
;732;3854;190
8304;;540;215
1332;;1342;161
;8954;1666;20
;2814;2015;13
9063;;4703;134
5477;;4614;69
;8556;3269;339
7126;;5698;100
8206;;17;129
;1583;7351;1
;3291;2884;71
;4030;8076;69
;2487;7200;100
;5101;1756;89
;878;8282;239
;115;7407;192
6265;;2352;270
3722;;9023;99
4954;;178;65
9282;;3118;71
;760;1979;44
6122;;4341;288
;66;48;106
;3349;380;54
1765;;4949;250
8976;;1160;81
;441;930;35
;4609;186;56
6051;;64;23
7348;;657;109
;2057;6986;50
;2887;9937;100
;5067;3742;8
;5066;1722;161
;5086;8852;98
1312;;4896;11
3390;;3821;78
6311;;6225;234
;8651;7630;65
368;;1689;52
;2257;6692;136
9589;;6559;13
;9103;2296;424
6437;;2348;12
;4363;7631;57
2540;;7016;99
;1424;1269;66
;8280;3029;90
;2790;6352;199
;1455;7257;157
1189;;8715;114
9897;;1973;297
9095;;206;108
4809;;953;35
6402;;978;168
8555;;2127;122
;5925;4682;212
;1504;8195;417
3770;;4864;15
2799;;9964;27
;2120;3668;57
;7593;39;11
5291;;4177;312
6710;;1447;372
5821;;863;82
550;;2804;184
;4055;5487;104
8268;;2820;191
;1617;3803;16
9347;;5346;80
;6903;4587;167
9580;;6077;27
;9707;5706;69
;2885;7782;7
8585;;1782;242
;6123;7746;77
;2009;7427;112
3382;;5494;141
;6113;4296;104
;1317;6749;36
418;;754;10
;1526;5193;279
667;;5324;178
;4602;9946;203
8811;;6746;26
1997;;727;110
;1760;6399;2
2498;;7334;219
;3909;5044;45
;4170;6089;209
5610;;6949;372
7455;;6919;279
7037;;8183;8
7725;;6462;6
9376;;8696;5
8021;;2443;98
;1713;5342;90
2261;;6180;57
1362;;5451;0
431;;4974;107
5027;;7948;59
;1558;729;5
;4298;3680;386
;1357;245;85
;8881;7317;1
3699;;8052;86
;1543;5124;282
220;;1340;112
;6125;4076;154
;1533;8900;434
;9846;5964;141
;7884;9700;22
8447;;2251;46
5441;;4572;31
6561;;3376;16
;8935;7990;5
4331;;3777;21
;2657;3042;47
;6924;5579;286
393;;2534;202
;8334;4080;186
1326;;1754;107
;1609;6268;359
7789;;3655;350
;4121;5745;332
;7043;6709;5
;5669;9294;44
;7553;4220;15
;2526;890;16
2957;;1599;2
;790;2097;105
;3512;5235;3
7513;;1674;3
;3187;4931;26
;6772;6189;301
;3347;8769;25
;1971;2549;33
1360;;5862;41
5684;;5975;245
1487;;2439;179
740;;900;13
;2710;9631;311
;7843;4109;59
;6343;488;400
;8800;1285;414
;9966;7684;389
808;;181;36
;3252;2015;12
7655;;231;104
;5196;3624;26
;8517;1662;172
;6034;51;33
6246;;148;10
4617;;9325;163
69;;9795;128
6454;;2594;20
;6766;7122;18
7510;;1017;55
;5517;812;3
;2484;6036;171
;2367;8939;63
615;;2161;191
5202;;2389;65
;4069;8766;308
;5346;6734;132
855;;2111;310
;9732;4275;60
9143;;8698;5
;401;4279;16
;8707;3965;201
1391;;2354;38
;6450;9671;46
478;;2889;271
1984;;5112;148
;7999;3995;147
;5072;1181;80
5766;;5658;96
;6170;9790;48
;6653;1667;17
6680;;7568;25
;6118;9968;121
5535;;8789;86
3570;;2462;53
212;;2473;45
5687;;5038;310
;5438;5801;0
;695;8659;260
7761;;5007;11
2485;;3326;190
;5711;8286;141
8628;;3754;288
;4973;8685;143
4869;;7915;103
;9795;8592;45
1727;;4923;147
;7357;6876;18
;7741;7363;98
6960;;2197;49
7025;;6644;48
7912;;9516;257
;2026;6269;345
3296;;2379;37
3778;;1342;154
9381;;5949;118
8761;;7694;235
7613;;8133;143
9774;;2549;100
;4980;2249;110
;5390;5201;112
;6522;8923;77
;7193;362;205
1453;;7366;1
;7763;6806;164
3257;;1951;89
;6916;8855;348
;3154;9354;0
383;;7583;134
8877;;2508;144
;1631;1940;2
;8950;1572;58
;6411;2592;5
;4608;6139;439
;5690;4260;126
5933;;2318;118
8429;;4764;5
;3595;2763;27
8350;;8244;117
;5496;3089;80
;9828;2450;35
2962;;4216;95
;9168;2664;421
;2631;149;418
7755;;2023;89
6988;;2554;213
;4806;9418;359
2660;;8915;13
;7915;3338;53
440;;8098;331
6980;;4702;17
;1481;4139;15
3279;;9027;292
4410;;2034;280
;7103;8271;178
;3943;6266;2
8139;;4574;21
4846;;8869;2
;9311;9305;245
6590;;3828;25
1033;;9592;7
;4599;3730;0
7442;;2701;394
4308;;6684;94
179;;1802;221
1474;;2699;337
;9090;2061;45
;2410;3487;173
8757;;1704;416
;3446;7384;283
5023;;5643;17
6512;;9130;270
368;;3016;210
;1687;7572;43
832;;7610;22
9577;;4923;426
9814;;977;21
8089;;6867;259
;1075;2055;215
;6629;1214;64
;2179;2391;77
1855;;7814;11
;9357;6293;89
;5369;5354;29
;8619;2347;86
3460;;7265;21
;3439;3370;158
1333;;3098;114
;3818;1673;4
;5555;8432;40
;6573;2467;105
4801;;3844;14
;9887;9939;103
;5545;8372;32
6858;;5319;93
;6749;2300;211
8594;;766;304
;6427;6154;325
;1681;1368;127
5519;;9906;13
3578;;9330;269
1252;;9703;42
8665;;8089;134
;4528;5898;149
7717;;5659;20
3816;;9916;48
316;;5515;44
873;;3765;230
7819;;4654;283
9471;;1409;274
;288;3541;116
;839;3139;410
2388;;6399;6
;6671;9829;31
;7569;1268;36
6692;;2268;14
;7772;1287;22
;2936;8628;431
;2689;9406;198
;4225;6996;36
7878;;5204;5
2265;;9406;163
;2641;9555;207
;1258;2008;149
;30;5639;41
;6315;3714;413
6512;;2535;275
2571;;2279;98
;4065;6440;44
;1375;7034;174
;6664;1019;248
;9596;3869;216
9283;;5622;224
3240;;8695;7
9822;;482;78
;5077;3999;278
;1001;2798;140
;1224;5115;313
;2790;270;30
;456;3695;76
;4139;1716;350
;5772;877;3
5476;;7355;144
;2754;7775;200
;76;1340;45
;3609;7955;215
;9969;7422;79
;4873;1710;320
6768;;8599;59
;8192;7617;23
;8220;1018;45
5061;;7208;4
9862;;5315;23
;1710;5278;205
;4254;6619;321
170;;4340;286
2307;;5080;67
;7996;4759;25
;7056;7781;191
3713;;8837;127
1059;;4987;164
;899;6212;193
2535;;1226;136
;8284;1418;150
8222;;5479;118
;9644;6589;6
6519;;9023;283
7106;;4847;9
1922;;4819;327
9932;;3375;19
;6748;2991;142
;9888;7525;5
;2728;6416;139
1992;;6591;36
;8112;6167;18
;5276;3142;350
;7817;9162;1
;7895;2582;222
5651;;706;1
8003;;9306;110
;6576;5818;93
3261;;8595;13
6866;;9483;197
577;;4066;174
;7379;223;239
;2530;5152;232
9400;;9732;214
2996;;835;103
;2049;5056;395
7151;;2333;297
;4889;4573;11
;7977;6028;34
;4653;7609;53
553;;1656;12
;57;1780;21
;7145;1103;220
1683;;104;245
8005;;981;348
;2554;2714;117
;2060;1872;76
;3850;7539;106
5160;;9992;220
;7262;2898;6
6385;;6360;181
;3574;9265;34
;594;9941;204
;1483;3242;8
;499;869;149
3516;;4198;224
;8536;4626;125
4140;;8033;258
2864;;5882;135
;5062;282;257
;2572;3792;30
1768;;8545;9
8372;;1852;58
7168;;8651;34
3414;;424;327
;4170;4366;222
;8619;2589;6
;1370;1122;118
;4824;9796;17
;68;9923;77
3585;;9266;17
;2403;7617;403
;1947;8145;151
;3931;6978;0
;8991;787;227
6898;;1057;311
;5406;6619;171
70;;4952;31
2146;;8299;173
;9873;7114;19
272;;2569;103
;1866;4638;28
1709;;6321;92
3772;;3886;74
3987;;1374;236
;593;4042;227
7224;;4344;78
7769;;430;2
8876;;7271;52
5693;;1096;381
;6019;5420;444
;1283;6191;3
360;;2759;18
;2093;3898;398
1385;;2680;97
;4693;1582;94
;2554;8525;75
;6017;9671;81
7808;;2375;102
;7505;5442;108
7178;;1946;154
;1811;5044;201
7423;;7008;10
;570;9147;239
;9765;9387;23
;7904;3684;168
8654;;7991;124
;8432;6977;72
5905;;2676;41
4616;;1782;47
3445;;45;177
;5036;5041;258
;2249;815;84
;9310;4073;47
9319;;5503;34
;6532;8996;281
;474;9027;343
;7971;1428;61
;3894;9088;458
2067;;2123;10
;9284;4610;130
;9091;4140;139
484;;2533;7
7871;;8534;73
;3604;3646;127
